ID;FECHA;CONEXION;TEMP;BT;EC;DB;GOOGLE;VE;VA;GPS;GPSMOVIL
198;26/05/2022 9:57;TRUE;22.31;TRUE;56.1;R-85850;G;457;9201.1;lat:39.471306,lon:-0.357162;lat:39.471306,lon:-0.357162
199;26/05/2022 9:57;TRUE;22.31;TRUE;56.09;R-85850;G;456;9199.4;lat:39.471272,lon:-0.357158;lat:39.471272,lon:-0.357158
200;26/05/2022 9:57;TRUE;22.31;TRUE;56.1;R-85850;G;457;9201.1;lat:39.471264,lon:-0.357154;lat:39.471264,lon:-0.357154
201;26/05/2022 9:57;TRUE;22.31;TRUE;56.1;R-85850;G;457;9201.1;lat:39.471283,lon:-0.357163;lat:39.471283,lon:-0.357163
202;26/05/2022 9:57;TRUE;22.31;TRUE;56.1;R-85850;G;457;9201.1;lat:39.471272,lon:-0.357169;lat:39.471272,lon:-0.357169
203;26/05/2022 9:57;TRUE;22.31;TRUE;56.09;R-85850;G;456;9199.4;lat:39.471260,lon:-0.357147;lat:39.471260,lon:-0.357147
204;26/05/2022 9:57;TRUE;22.31;TRUE;56.09;R-85850;G;456;9199.4;lat:39.471256,lon:-0.357147;lat:39.471256,lon:-0.357147
205;26/05/2022 9:57;TRUE;22.31;TRUE;56.1;R-85850;G;457;9201.1;lat:39.471249,lon:-0.357142;lat:39.471249,lon:-0.357142
206;26/05/2022 9:57;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471241,lon:-0.357148;lat:39.471241,lon:-0.357148
207;26/05/2022 9:57;TRUE;22.31;TRUE;56.1;R-85850;G;457;9201.1;lat:39.471245,lon:-0.357154;lat:39.471245,lon:-0.357154
208;26/05/2022 9:57;TRUE;22.31;TRUE;56.09;R-85850;G;456;9199.4;lat:39.471245,lon:-0.357145;lat:39.471245,lon:-0.357145
209;26/05/2022 9:57;TRUE;22.31;TRUE;56.1;R-85850;G;457;9201.1;lat:39.471252,lon:-0.357133;lat:39.471252,lon:-0.357133
210;26/05/2022 9:57;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471260,lon:-0.357139;lat:39.471260,lon:-0.357139
211;26/05/2022 9:58;TRUE;22.31;TRUE;56.1;R-85850;G;457;9201.1;lat:39.471260,lon:-0.357147;lat:39.471260,lon:-0.357147
212;26/05/2022 9:58;TRUE;22.31;TRUE;56.09;R-85850;G;456;9199.4;lat:39.471260,lon:-0.357149;lat:39.471260,lon:-0.357149
213;26/05/2022 9:58;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471264,lon:-0.357143;lat:39.471264,lon:-0.357143
214;26/05/2022 9:58;TRUE;22.31;TRUE;56.1;R-85850;G;457;9201.1;lat:39.471249,lon:-0.357160;lat:39.471249,lon:-0.357160
215;26/05/2022 9:58;TRUE;22.31;TRUE;56.1;R-85850;G;457;9201.1;lat:39.471245,lon:-0.357139;lat:39.471245,lon:-0.357139
216;26/05/2022 9:58;TRUE;22.31;TRUE;56.09;R-85850;G;456;9199.4;lat:39.471252,lon:-0.357154;lat:39.471252,lon:-0.357154
217;26/05/2022 9:58;TRUE;22.31;TRUE;56.1;R-85850;G;457;9201.1;lat:39.471249,lon:-0.357148;lat:39.471249,lon:-0.357148
218;26/05/2022 9:58;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471249,lon:-0.357150;lat:39.471249,lon:-0.357150
219;26/05/2022 9:58;TRUE;22.31;TRUE;56.1;R-85850;G;457;9201.1;lat:39.471252,lon:-0.357143;lat:39.471252,lon:-0.357143
220;26/05/2022 9:58;TRUE;22.31;TRUE;56.12;R-85850;G;459;9204.4;lat:39.471249,lon:-0.357129;lat:39.471249,lon:-0.357129
221;26/05/2022 9:58;TRUE;22.31;TRUE;56.09;R-85850;G;456;9199.4;lat:39.471245,lon:-0.357118;lat:39.471245,lon:-0.357118
222;26/05/2022 9:58;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471241,lon:-0.357114;lat:39.471241,lon:-0.357114
223;26/05/2022 9:58;TRUE;22.31;TRUE;56.1;R-85850;G;457;9201.1;lat:39.471237,lon:-0.357098;lat:39.471237,lon:-0.357098
224;26/05/2022 9:58;TRUE;22.31;TRUE;56.12;R-85850;G;459;9204.4;lat:39.471233,lon:-0.357090;lat:39.471233,lon:-0.357090
225;26/05/2022 9:58;TRUE;22.31;TRUE;56.1;R-85850;G;457;9201.1;lat:39.471230,lon:-0.357083;lat:39.471230,lon:-0.357083
226;26/05/2022 9:58;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471233,lon:-0.357074;lat:39.471233,lon:-0.357074
227;26/05/2022 9:58;TRUE;22.31;TRUE;56.09;R-85850;G;456;9199.4;lat:39.471241,lon:-0.357077;lat:39.471241,lon:-0.357077
228;26/05/2022 9:58;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471245,lon:-0.357094;lat:39.471245,lon:-0.357094
229;26/05/2022 9:58;TRUE;22.31;TRUE;56.12;R-85850;G;459;9204.4;lat:39.471241,lon:-0.357102;lat:39.471241,lon:-0.357102
230;26/05/2022 9:58;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471237,lon:-0.357097;lat:39.471237,lon:-0.357097
231;26/05/2022 9:59;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471233,lon:-0.357102;lat:39.471233,lon:-0.357102
232;26/05/2022 9:59;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471241,lon:-0.357085;lat:39.471241,lon:-0.357085
233;26/05/2022 9:59;TRUE;22.31;TRUE;56.12;R-85850;G;459;9204.4;lat:39.471241,lon:-0.357070;lat:39.471241,lon:-0.357070
234;26/05/2022 9:59;TRUE;22.31;TRUE;56.13;R-85850;G;460;9206.1;lat:39.471260,lon:-0.357055;lat:39.471260,lon:-0.357055
235;26/05/2022 9:59;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471275,lon:-0.357058;lat:39.471275,lon:-0.357058
236;26/05/2022 9:59;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471275,lon:-0.357051;lat:39.471275,lon:-0.357051
237;26/05/2022 9:59;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471283,lon:-0.357058;lat:39.471283,lon:-0.357058
238;26/05/2022 9:59;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471291,lon:-0.357073;lat:39.471291,lon:-0.357073
239;26/05/2022 9:59;TRUE;22.31;TRUE;56.12;R-85850;G;459;9204.4;lat:39.471298,lon:-0.357082;lat:39.471298,lon:-0.357082
240;26/05/2022 9:59;TRUE;22.25;TRUE;56.12;R-85850;G;459;9204.4;lat:39.471306,lon:-0.357101;lat:39.471306,lon:-0.357101
241;26/05/2022 9:59;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471306,lon:-0.357096;lat:39.471306,lon:-0.357096
242;26/05/2022 9:59;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471313,lon:-0.357130;lat:39.471313,lon:-0.357130
243;26/05/2022 9:59;TRUE;22.31;TRUE;56.12;R-85850;G;459;9204.4;lat:39.471329,lon:-0.357173;lat:39.471329,lon:-0.357173
244;26/05/2022 9:59;TRUE;22.31;TRUE;56.13;R-85850;G;460;9206.1;lat:39.471333,lon:-0.357203;lat:39.471333,lon:-0.357203
245;26/05/2022 9:59;TRUE;22.31;TRUE;56.11;R-85850;G;458;9202.7;lat:39.471317,lon:-0.357179;lat:39.471317,lon:-0.357179
246;26/05/2022 9:59;TRUE;22.25;TRUE;56.12;R-85850;G;459;9204.4;lat:39.471310,lon:-0.357142;lat:39.471310,lon:-0.357142
247;26/05/2022 9:59;TRUE;22.25;TRUE;56.12;R-85850;G;459;9204.4;lat:39.471302,lon:-0.357111;lat:39.471302,lon:-0.357111
248;26/05/2022 9:59;TRUE;22.31;TRUE;56.12;R-85850;G;459;9204.4;lat:39.471306,lon:-0.357104;lat:39.471306,lon:-0.357104
249;26/05/2022 9:59;TRUE;22.25;TRUE;56.13;R-85850;G;460;9206.1;lat:39.471302,lon:-0.357100;lat:39.471302,lon:-0.357100
